"subject","item","sound","block_contrast","type","block_G","response","adjusted_response_time"
3,70,"-0.5","block3","Vowel","block3","1",-501
3,71,"0.5","block3","Consonant","block3","0",951
3,72,"-0.5","block3","Vowel","block3","1",-498
3,73,"0.5","block3","Consonant","block3","1",635
3,74,"-0.5","block3","Vowel","block3","1",-276
3,75,"-0.5","block3","Vowel","block3","1",-324
3,76,"0.5","block3","Consonant","block3","1",-570
3,77,"0.5","block3","Consonant","block3","1",-500
3,78,"-0.5","block3","Vowel","block3","1",116
3,79,"-0.5","block3","Vowel","block3","1",1017
3,80,"0.5","block3","Consonant","block3","0",688
3,81,"-0.5","block3","Vowel","block3","1",-288
3,82,"0.5","block3","Consonant","block3","0",-494
3,83,"-0.5","block3","Vowel","block3","1",-531
3,84,"0.5","block3","Consonant","block3","1",-34
3,85,"-0.5","block3","Vowel","block3","1",-423
3,86,"0.5","block3","Consonant","block3","1",1087
3,87,"-0.5","block3","Vowel","block3","1",-279
3,88,"0.5","block3","Consonant","block3","0",-77
3,89,"0.5","block3","Consonant","block3","1",223
3,90,"-0.5","block3","Vowel","block3","1",562
3,91,"-0.5","block3","Vowel","block3","1",-218
3,92,"0.5","block3","Consonant","block3","1",NA
3,93,"0.5","block3","Consonant","block3","1",8
3,94,"-0.5","block3","Vowel","block3","1",145
3,95,"0.5","block3","Consonant","block3","0",-351
3,96,"-0.5","block3","Vowel","block3","1",379
4,1,"0.5","block1","Consonant","block1","1",-60.875
4,2,"-0.5","block1","Vowel","block1","1",-443.875
4,3,"-0.5","block1","Vowel","block1","1",-92.875
4,4,"0.5","block1","Consonant","block1","1",-478.875
4,5,"0.5","block1","Consonant","block1","0",-365.875
4,6,"-0.5","block1","Vowel","block1","1",-393.875
4,7,"0.5","block1","Consonant","block1","0",55.125
4,8,"-0.5","block1","Vowel","block1","1",177.125
4,9,"-0.5","block1","Vowel","block1","1",623.125
4,10,"0.5","block1","Consonant","block1","1",-270.875
4,11,"-0.5","block1","Vowel","block1","1",NA
4,12,"0.5","block1","Consonant","block1","0",388.125
4,13,"0.5","block1","Consonant","block1","0",570.125
4,14,"-0.5","block1","Vowel","block1","1",232.125
4,15,"-0.5","block1","Vowel","block1","1",-244.875
4,16,"0.5","block1","Consonant","block1","1",459.125
4,17,"-0.5","block1","Vowel","block1","1",54.125
4,18,"0.5","block1","Consonant","block1","1",1104.125
4,19,"0.5","block1","Consonant","block1","1",-319.875
4,20,"-0.5","block1","Vowel","block1","1",-545.875
4,21,"0.5","block1","Consonant","block1","1",-219.875
4,22,"-0.5","block1","Vowel","block1","1",-88.875
4,23,"-0.5","block1","Vowel","block1","1",-444.875
4,24,"0.5","block1","Consonant","block1","1",63.125
4,25,"0.5","block1","Consonant","block1","1",1457.125
4,26,"-0.5","block1","Vowel","block1","1",-464.875
4,27,"-0.5","block1","Vowel","block1","1",-526.875
4,28,"0.5","block1","Consonant","block1","1",2252.125
4,29,"-0.5","block1","Vowel","block1","1",2.125
4,30,"0.5","block1","Consonant","block1","1",110.125
4,31,"0.5","block1","Consonant","block1","1",-167.875
4,32,"-0.5","block1","Vowel","block1","1",-446.875
4,33,"-0.5","block2","Vowel","block2","1",-485.25
4,34,"0.5","block2","Consonant","block2","1",NA
4,35,"-0.5","block2","Vowel","block2","1",248.75
4,36,"0.5","block2","Consonant","block2","1",-720.25
4,37,"0.5","block2","Consonant","block2","0",-275.25
4,38,"-0.5","block2","Vowel","block2","1",-236.25
4,39,"-0.5","block2","Vowel","block2","1",-640.25
4,40,"0.5","block2","Consonant","block2","0",-579.25
4,41,"0.5","block2","Consonant","block2","1",-141.25
4,42,"-0.5","block2","Vowel","block2","1",-402.25
4,43,"0.5","block2","Consonant","block2","1",-546.25
4,44,"-0.5","block2","Vowel","block2","1",-859.25
4,45,"-0.5","block2","Vowel","block2","1",-571.25
4,46,"0.5","block2","Consonant","block2","1",-47.25
4,47,"-0.5","block2","Vowel","block2","1",-323.25
4,48,"0.5","block2","Consonant","block2","1",-680.25
4,49,"-0.5","block2","Vowel","block2","1",-705.25
4,50,"0.5","block2","Consonant","block2","0",-697.25
4,51,"-0.5","block2","Vowel","block2","1",-354.25
4,52,"0.5","block2","Consonant","block2","1",-775.25
4,53,"-0.5","block2","Vowel","block2","1",-586.25
4,54,"0.5","block2","Consonant","block2","1",-652.25
4,55,"0.5","block2","Consonant","block2","1",-312.25
4,56,"-0.5","block2","Vowel","block2","1",-773.25
4,57,"0.5","block2","Consonant","block2","1",-711.25
4,58,"-0.5","block2","Vowel","block2","1",-644.25
4,59,"-0.5","block2","Vowel","block2","1",-218.25
4,60,"0.5","block2","Consonant","block2","1",-681.25
4,61,"0.5","block2","Consonant","block2","1",-797.25
4,62,"-0.5","block2","Vowel","block2","1",-254.25
4,63,"-0.5","block2","Vowel","block2","1",-599.25
4,64,"0.5","block2","Consonant","block2","1",-863.25
4,65,"-0.5","block3","Vowel","block3","1",577.5
4,66,"0.5","block3","Consonant","block3","1",-171.5
4,67,"0.5","block3","Consonant","block3","1",-364.5
4,68,"-0.5","block3","Vowel","block3","1",-131.5
4,69,"0.5","block3","Consonant","block3","1",572.5
4,70,"-0.5","block3","Vowel","block3","1",-266.5
4,71,"0.5","block3","Consonant","block3","1",-174.5
4,72,"-0.5","block3","Vowel","block3","1",51.5
4,73,"0.5","block3","Consonant","block3","1",444.5
4,74,"-0.5","block3","Vowel","block3","1",-455.5
4,75,"-0.5","block3","Vowel","block3","1",-142.5
4,76,"0.5","block3","Consonant","block3","1",59.5
4,77,"0.5","block3","Consonant","block3","1",-364.5
4,78,"-0.5","block3","Vowel","block3","1",36.5
4,79,"-0.5","block3","Vowel","block3","1",150.5
4,80,"0.5","block3","Consonant","block3","1",-416.5
4,81,"-0.5","block3","Vowel","block3","1",-38.5
4,82,"0.5","block3","Consonant","block3","1",-401.5
4,83,"-0.5","block3","Vowel","block3","1",-484.5
4,84,"0.5","block3","Consonant","block3","1",-399.5
4,85,"-0.5","block3","Vowel","block3","1",-192.5
4,86,"0.5","block3","Consonant","block3","1",-366.5
4,87,"-0.5","block3","Vowel","block3","1",-290.5
4,88,"0.5","block3","Consonant","block3","1",223.5
4,89,"0.5","block3","Consonant","block3","1",-415.5
4,90,"-0.5","block3","Vowel","block3","1",456.5
