subject,condition,block,group,item,word,phoneme,accuracy,raw_rt,means,adjusted_rt,new_rt,new_rt_3_5
23,target1,block2,13,62,worse,s,1,7732,1364.625,NA,NA,NA
23,target1,block2,13,64,growth,th,1,4000,1364.625,NA,NA,NA
23,filler,block2,13,65,cheek,cheek,1,3078,1364.625,NA,NA,NA
25,target2,block2,11,52,bad,no,1,3532,1298,NA,NA,NA
25,target1,block2,12,59,sought,s,0,3173,1298,NA,NA,NA
26,target2,block2,12,56,battle,no,0,7217,1321.375,NA,NA,NA
26,target1,block2,12,57,miss,s,1,3968,1321.375,NA,NA,NA
26,target2,block2,12,58,mop,o,1,7745,1321.375,NA,NA,NA
26,target1,block2,15,74,thigh,th,1,4098,1321.375,NA,NA,NA
27,target1,block2,9,42,sink,s,1,3234,1315.625,NA,NA,NA
27,target1,block2,10,46,growth,th,0,3141,1315.625,NA,NA,NA
27,target2,block2,12,58,mop,o,1,3110,1315.625,NA,NA,NA
28,target2,block2,12,56,bottle,o,1,5115,1814.25,NA,NA,NA
28,target2,block2,15,73,bod,o,1,3114,1814.25,NA,NA,NA
29,target2,block2,10,48,bond,o,1,3816,1491.5,NA,NA,NA
29,target1,block2,12,59,thought,th,1,5421,1491.5,NA,NA,NA
29,target2,block2,13,63,band,no,1,7651,1491.5,NA,NA,NA
29,target2,block2,14,66,pat,no,1,5641,1491.5,NA,NA,NA
30,target2,block2,11,54,cap,no,0,3912,1379.714286,NA,NA,NA
30,target2,block2,12,56,battle,no,0,7835,1379.714286,NA,NA,NA
30,filler,block2,13,65,cheek,cheek,1,3816,1379.714286,NA,NA,NA
31,target1,block2,9,42,sink,s,1,4683,1603.875,NA,NA,NA
31,target2,block2,9,43,foster,o,1,7013,1603.875,NA,NA,NA
31,target1,block2,9,44,path,th,1,4580,1603.875,NA,NA,NA
31,target1,block2,10,46,growth,th,0,5066,1603.875,NA,NA,NA
31,target2,block2,10,48,bond,o,1,3274,1603.875,NA,NA,NA
31,target1,block2,11,53,thigh,th,0,5739,1603.875,NA,NA,NA
31,target2,block2,11,54,cop,o,1,6846,1603.875,NA,NA,NA
31,target2,block2,13,61,faster,no,1,6195,1603.875,NA,NA,NA
31,target1,block2,14,68,thought,th,0,6014,1603.875,NA,NA,NA
31,filler,block2,14,70,fool,fool,1,3409,1603.875,NA,NA,NA
32,target1,block2,10,46,growth,th,0,5691,1495.25,NA,NA,NA
32,target1,block2,13,62,worth,th,0,3668,1495.25,NA,NA,NA
