"subject","item","sound","block","type","block_G","response","adjusted_response_time"
4,60,"0.5","-0.5","Consonant","block4","1",483.75
4,61,"0.5","-0.5","Consonant","block4","1",-461.25
4,62,"-0.5","-0.5","Vowel","block4","1",27.75
4,63,"-0.5","-0.5","Vowel","block4","1",314.75
4,64,"0.5","-0.5","Consonant","block4","0",-397.25
5,1,"0.5","0.5","Consonant","block1","1",566.25
5,2,"-0.5","0.5","Vowel","block1","1",1825.25
5,3,"-0.5","0.5","Vowel","block1","1",4686.25
5,4,"0.5","0.5","Consonant","block1","1",1501.25
5,5,"0.5","0.5","Consonant","block1","1",57.25
5,6,"-0.5","0.5","Vowel","block1","1",652.25
5,7,"0.5","0.5","Consonant","block1","0",3088.25
5,8,"-0.5","0.5","Vowel","block1","1",2.25
5,9,"-0.5","0.5","Vowel","block1","1",-44.75
5,10,"0.5","0.5","Consonant","block1","1",386.25
5,11,"-0.5","0.5","Vowel","block1","1",1177.25
5,12,"0.5","0.5","Consonant","block1","1",531.25
5,13,"0.5","0.5","Consonant","block1","1",-57.75
5,14,"-0.5","0.5","Vowel","block1","1",3140.25
5,15,"-0.5","0.5","Vowel","block1","1",-27.75
5,16,"0.5","0.5","Consonant","block1","1",-697.75
5,17,"-0.5","0.5","Vowel","block1","1",810.25
5,18,"0.5","0.5","Consonant","block1","1",-586.75
5,19,"0.5","0.5","Consonant","block1","1",-103.75
5,20,"-0.5","0.5","Vowel","block1","1",321.25
5,21,"0.5","0.5","Consonant","block1","1",-418.75
5,22,"-0.5","0.5","Vowel","block1","1",-70.75
5,23,"-0.5","0.5","Vowel","block1","1",-450.75
5,24,"0.5","0.5","Consonant","block1","1",-1026.75
5,25,"0.5","0.5","Consonant","block1","1",-39.75
5,26,"-0.5","0.5","Vowel","block1","1",-806.75
5,27,"-0.5","0.5","Vowel","block1","1",-953.75
5,28,"0.5","0.5","Consonant","block1","1",-76.75
5,29,"-0.5","0.5","Vowel","block1","1",514.25
5,30,"0.5","0.5","Consonant","block1","1",-840.75
5,31,"0.5","0.5","Consonant","block1","1",-811.75
5,32,"-0.5","0.5","Vowel","block1","1",-386.75
5,33,"-0.5","-0.5","Vowel","block4","1",-549.25
5,34,"0.5","-0.5","Consonant","block4","1",214.75
5,35,"-0.5","-0.5","Vowel","block4","1",-731.25
5,36,"0.5","-0.5","Consonant","block4","1",1236.75
5,37,"0.5","-0.5","Consonant","block4","0",-321.25
5,38,"-0.5","-0.5","Vowel","block4","1",-243.25
5,39,"-0.5","-0.5","Vowel","block4","1",1407.75
5,40,"0.5","-0.5","Consonant","block4","1",243.75
5,41,"0.5","-0.5","Consonant","block4","1",-661.25
5,42,"-0.5","-0.5","Vowel","block4","1",71.75
5,43,"0.5","-0.5","Consonant","block4","1",-364.25
5,44,"-0.5","-0.5","Vowel","block4","1",625.75
5,45,"-0.5","-0.5","Vowel","block4","1",197.75
5,46,"0.5","-0.5","Consonant","block4","1",-188.25
5,47,"-0.5","-0.5","Vowel","block4","1",36.75
5,48,"0.5","-0.5","Consonant","block4","1",-765.25
5,49,"-0.5","-0.5","Vowel","block4","1",190.75
5,50,"0.5","-0.5","Consonant","block4","1",1302.75
5,51,"-0.5","-0.5","Vowel","block4","1",539.75
5,52,"0.5","-0.5","Consonant","block4","1",-687.25
5,53,"-0.5","-0.5","Vowel","block4","1",-591.25
5,54,"0.5","-0.5","Consonant","block4","1",-732.25
5,55,"0.5","-0.5","Consonant","block4","1",-31.25
5,56,"-0.5","-0.5","Vowel","block4","1",-438.25
5,57,"0.5","-0.5","Consonant","block4","1",-592.25
5,58,"-0.5","-0.5","Vowel","block4","1",-538.25
5,59,"-0.5","-0.5","Vowel","block4","1",-771.25
5,60,"0.5","-0.5","Consonant","block4","1",-778.25
5,61,"0.5","-0.5","Consonant","block4","1",-747.25
5,62,"-0.5","-0.5","Vowel","block4","1",406.75
5,63,"-0.5","-0.5","Vowel","block4","1",619.75
5,64,"0.5","-0.5","Consonant","block4","1",-647.25
6,1,"0.5","0.5","Consonant","block1","1",716.25
6,2,"-0.5","0.5","Vowel","block1","1",-304.75
6,3,"-0.5","0.5","Vowel","block1","0",-194.75
6,4,"0.5","0.5","Consonant","block1","1",-524.75
6,5,"0.5","0.5","Consonant","block1","1",874.25
6,6,"-0.5","0.5","Vowel","block1","1",95.25
6,7,"0.5","0.5","Consonant","block1","1",4555.25
6,8,"-0.5","0.5","Vowel","block1","1",126.25
6,9,"-0.5","0.5","Vowel","block1","1",1853.25
6,10,"0.5","0.5","Consonant","block1","1",2193.25
6,11,"-0.5","0.5","Vowel","block1","1",333.25
6,12,"0.5","0.5","Consonant","block1","0",963.25
6,13,"0.5","0.5","Consonant","block1","0",525.25
6,14,"-0.5","0.5","Vowel","block1","1",1853.25
6,15,"-0.5","0.5","Vowel","block1","1",1416.25
6,16,"0.5","0.5","Consonant","block1","1",2295.25
6,17,"-0.5","0.5","Vowel","block1","1",613.25
6,18,"0.5","0.5","Consonant","block1","1",313.25
6,19,"0.5","0.5","Consonant","block1","1",764.25
6,20,"-0.5","0.5","Vowel","block1","1",-375.75
6,21,"0.5","0.5","Consonant","block1","1",1254.25
6,22,"-0.5","0.5","Vowel","block1","1",-149.75
6,23,"-0.5","0.5","Vowel","block1","1",-195.75
6,24,"0.5","0.5","Consonant","block1","1",24.25
6,25,"0.5","0.5","Consonant","block1","1",2762.25
6,26,"-0.5","0.5","Vowel","block1","1",-488.75
6,27,"-0.5","0.5","Vowel","block1","1",-511.75
6,28,"0.5","0.5","Consonant","block1","1",1653.25
6,29,"-0.5","0.5","Vowel","block1","1",-217.75
6,30,"0.5","0.5","Consonant","block1","1",-286.75
6,31,"0.5","0.5","Consonant","block1","0",-156.75
6,32,"-0.5","0.5","Vowel","block1","1",157.25
6,33,"-0.5","-0.5","Vowel","block4","1",NA
6,34,"0.5","-0.5","Consonant","block4","1",820.875
6,35,"-0.5","-0.5","Vowel","block4","1",168.875
6,36,"0.5","-0.5","Consonant","block4","1",17.875
6,37,"0.5","-0.5","Consonant","block4","0",-83.125
6,38,"-0.5","-0.5","Vowel","block4","1",277.875
6,39,"-0.5","-0.5","Vowel","block4","1",-103.125
6,40,"0.5","-0.5","Consonant","block4","0",895.875
6,41,"0.5","-0.5","Consonant","block4","1",966.875
6,42,"-0.5","-0.5","Vowel","block4","1",187.875
6,43,"0.5","-0.5","Consonant","block4","1",-33.125
6,44,"-0.5","-0.5","Vowel","block4","1",107.875
6,45,"-0.5","-0.5","Vowel","block4","0",428.875
6,46,"0.5","-0.5","Consonant","block4","1",1356.875
6,47,"-0.5","-0.5","Vowel","block4","1",236.875
6,48,"0.5","-0.5","Consonant","block4","1",106.875
6,49,"-0.5","-0.5","Vowel","block4","1",165.875
6,50,"0.5","-0.5","Consonant","block4","1",-163.125
6,51,"-0.5","-0.5","Vowel","block4","1",-12.125
6,52,"0.5","-0.5","Consonant","block4","1",-135.125
6,53,"-0.5","-0.5","Vowel","block4","1",-244.125
6,54,"0.5","-0.5","Consonant","block4","1",-174.125
6,55,"0.5","-0.5","Consonant","block4","0",85.875
6,56,"-0.5","-0.5","Vowel","block4","0",116.875
6,57,"0.5","-0.5","Consonant","block4","1",-153.125
6,58,"-0.5","-0.5","Vowel","block4","0",1855.875
6,59,"-0.5","-0.5","Vowel","block4","1",135.875
6,60,"0.5","-0.5","Consonant","block4","0",316.875
6,61,"0.5","-0.5","Consonant","block4","1",231.875
6,62,"-0.5","-0.5","Vowel","block4","1",56.875
6,63,"-0.5","-0.5","Vowel","block4","0",425.875
6,64,"0.5","-0.5","Consonant","block4","0",-14.125
7,1,"0.5","0.5","Consonant","block1","1",1176.5
7,2,"-0.5","0.5","Vowel","block1","0",-345.5
7,3,"-0.5","0.5","Vowel","block1","0",242.5
7,4,"0.5","0.5","Consonant","block1","1",257.5
7,5,"0.5","0.5","Consonant","block1","1",-475.5
7,6,"-0.5","0.5","Vowel","block1","1",7.5
7,7,"0.5","0.5","Consonant","block1","0",193.5
7,8,"-0.5","0.5","Vowel","block1","1",417.5
7,9,"-0.5","0.5","Vowel","block1","1",1487.5
7,10,"0.5","0.5","Consonant","block1","1",-493.5
7,11,"-0.5","0.5","Vowel","block1","1",237.5
7,12,"0.5","0.5","Consonant","block1","1",764.5
7,13,"0.5","0.5","Consonant","block1","1",91.5
7,14,"-0.5","0.5","Vowel","block1","1",1266.5
7,15,"-0.5","0.5","Vowel","block1","1",-413.5
7,16,"0.5","0.5","Consonant","block1","0",NA
7,17,"-0.5","0.5","Vowel","block1","1",-33.5
7,18,"0.5","0.5","Consonant","block1","1",53.5
7,19,"0.5","0.5","Consonant","block1","1",919.5
7,20,"-0.5","0.5","Vowel","block1","1",-461.5
7,21,"0.5","0.5","Consonant","block1","1",-357.5
7,22,"-0.5","0.5","Vowel","block1","1",-625.5
7,23,"-0.5","0.5","Vowel","block1","1",-771.5
7,24,"0.5","0.5","Consonant","block1","1",-51.5
7,25,"0.5","0.5","Consonant","block1","1",-787.5
7,26,"-0.5","0.5","Vowel","block1","1",-819.5
